App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver
Meta Player 2026,Travel_And_Local,4.8,21,146.9,500,Free,0,Everyone,Travel And Local;Creativity,18-05-2025,8.2.99
Daily Player,Finance,4.1,249,90.05,5000,Free,0,Everyone 10+,Finance,22-05-2025,Varies with device
Epic Dash Premium,Social,4.2,294,19.4,10000,Free,0,Teen,Artificial Intelligence,09-02-2025,2.5.86
Tracker 3D,Entertainment  ,3.6,984,49.5,50000,Free,0,Everyone,Entertainment;Creativity,20-02-2025,2.4.3
Neo Wallet Go,game,4.3,3,83.1,50,Free,0,Everyone,Game;Casual,10-09-2025,4.3.45
Next Fit Premium,Entertainment,5,2940,,100000,Paid,4.99,Everyone 10+,Entertainment;Creativity,06-07-2025,8.10.48
AI Fit Max,Productivity,3.8,1284,40.9,50000,Free,0,Everyone 10+,Productivity,04-05-2026,5.9.33
Browser Go,Game,3.3,2349,,50000,Free,0,Everyone,Game;Puzzle,02-06-2025,11.13.77
Chat Premium,Social,5,195989,146.6,5000000,Free,0,Everyone,Artificial Intelligence,26-10-2023,10.3.93
Lite Drive App,Game  ,4.7,7,90.05,500,Free,0,Everyone 10+,Game;Simulation,09-06-2026,Varies with device
My Fit Pro,  virtual_reality  ,4,0,238.1,100,Free,0,Everyone,Virtual Reality;Creativity,12-05-2026,11.11.66
Crypto Craft Premium,Music,4,221,90.05,5000,Free,0,Teen,Tools,22-03-2026,Varies with device
Hyper Editor Go,Social,3.5,7,41.3,500,Free,0,Everyone,Family,22-04-2025,14.20.92
Super Wallet,Social,,20,132.8,500,Free,0,Everyone,Medical,22-05-2026,14.1.22
My Browser Hub,House_And_Home,5,61,111.6,5000,Free,0,Everyone,House And Home,16-03-2025,14.3.32
Lite Wallet AI,PARENTING,4.1,5,90.05,10,Free,0,Everyone,Parenting;Creativity,02-03-2024,Varies with device
Dash Max 2023,Finance,4,248,108.3,5000,Free,0,Everyone 10+,Finance,06-12-2024,9.17.15
Pro Fit AI,Social,4.3,38,21.2,1000,Paid,49.99,Everyone,Family,18-12-2024,12.15.78
Hyper Fit Go 2025,Productivity,3.6,622,27.7,100000,Free,0,Everyone 10+,Productivity,28-12-2024,8.11.14
Super Browser App,House_And_Home,3.8,5,97.9,100,Free,0,Everyone 10+,House And Home,11-03-2025,13.16.76
Super Browser Plus,News_And_Magazines,4.1,0,68.9,50,Free,0,Teen,News And Magazines,07-09-2025,10.15.88
Crypto Dash Max,Social,3.8,5,90.05,100,Free,0,Everyone 10+,Social,21-04-2025,Varies with device
Crypto Connect 2023,  Social,4,4,120.1,100,Free,0,Everyone,Family;Creativity,15-06-2026,14.10.28
Editor App 2024,Game,4,33397,1050.8,1000000,Free,0,Everyone,Game;Board,06-03-2026,11.9.82
Hyper Strike App,Sports,3.9,0,80.7,100,Free,0,Everyone,Sports,06-02-2025,1.2.25
Ultra Drive,Libraries_And_Demo,4.8,358601,31.9,10000000,Free,0,Everyone 10+,Libraries And Demo,18-03-2026,1.14.84
Quick Pay,Social  ,3.8,2252646,127.5,50000000,Free,0,Mature 17+,Social,14-04-2025,7.3.81
Crypto Health Space,Game,5,14031,459.4,500000,Free,0,Everyone 10+,Game;Board,28-01-2026,5.17.100
Epic Drive Hub,Social,4,0,87.4,50,Free,0,Everyone,Family,05-12-2025,11.13.79
Ultra Telegram Hub,Music  ,3.6,11808,144.3,500000,Free,0,Everyone,Tools;Creativity,18-08-2025,3.4.92
Daily Instagram Hub 2023,game,3.4,11,90.05,1000,Free,0,Everyone,Game;Casual,06-03-2026,Varies with device
Epic Telegram App,Game,4.3,291,90.05,10000,Free,0,Everyone,Game;Puzzle,07-06-2025,Varies with device
Next Connect Go,Sports,3.9,4,74,100,Free,0,Everyone,Sports,20-07-2025,8.19.56
Daily Learn,Social,3.6,102,90.05,10000,Free,0,Everyone,Family;Creativity,18-06-2026,Varies with device
Epic Chat 2025,Social,3,2456,88.5,50000,Free,0,Everyone,Family,08-08-2025,13.10.71
Pro Browser AI,finance,4.1,24,90.05,500,Free,0,Everyone,Finance;Creativity,03-09-2025,Varies with device
AI Connect,Business,2.8,89918,43.1,5000000,Free,0,Everyone,Business,26-03-2024,10.4.92
Telegram_6326,Music  ,4.5,24,96.9,500,Free,0,Everyone,Tools,20-01-2026,2.10.65
Quick Learn Plus,Social  ,3.8,14,9.8,500,Free,0,Everyone,Artificial Intelligence,24-10-2025,1.19.4
Epic Health Now,Social,4,2,118.2,50,Free,0,Teen,Family,01-03-2026,8.1.76
Neo Wallet Pro,Game,4.3,4,90.05,100,Free,0,Everyone,Game;Puzzle,10-02-2026,Varies with device
Epic Maker Max,House_And_Home,4,1,71.6,50,Free,0,Teen,House And Home,18-05-2026,1.16.17
My Pay 2026,Game,5,76,892.4,10000,Free,0,Everyone,Game;Action,10-07-2025,7.11.3
Easy Craft Now,News_And_Magazines,,17,72.6,1000,Free,0,Everyone,News And Magazines;Creativity,25-06-2026,8.17.90
Pro Chat,Game,3.3,277,1712.4,50000,Free,0,Everyone,Game;Board,22-01-2025,11.12.15
Wallet Plus,Social,3.9,46,106,5000,Free,0,Everyone,Medical,06-08-2025,8.18.22
Hyper Craft Plus,Video_Players,4.2,3,270.1,100,Free,0,Everyone,Video Players,01-12-2024,13.1.33
Lite Strike Max,House_And_Home,3.5,137,112.2,5000,Free,0,Everyone,House And Home,20-08-2025,9.8.34
Super Craft,Productivity,3.7,4345,120.2,500000,Free,0,Everyone,Productivity,19-03-2026,14.5.26
Lite Chat Pro,  news_and_magazines  ,4.5,6,46.5,1000,Free,0,Everyone,News And Magazines,20-12-2025,7.4.18
Quick Telegram,Health_And_Fitness,3.7,401,142.6,50000,Free,0,Everyone,Health And Fitness,22-06-2024,14.9.71
Crypto Health,Productivity,3.9,70919,18.8,10000000,Free,0,Everyone,Productivity,16-08-2025,8.20.86
Strike Pro 2024,Social,4,3,68,10,Free,0,Everyone,Family;Creativity,27-04-2026,8.14.16
Hyper Dash Space,Game,4.3,0,1512.2,10,Free,0,Everyone,Game;Puzzle,28-06-2023,7.2.74
Pro Wallet Hub,game,4.3,2,1475.2,100,Free,0,Everyone,Game;Puzzle,20-02-2025,6.5.63
Ultra Dash,Social,4.2,43,74.3,1000,Free,0,Everyone,Artificial Intelligence,21-03-2026,6.7.7
Crypto Dash Premium 2026,Music,3.9,400,146.8,10000,Free,0,Everyone 10+,Tools,23-12-2025,6.8.2
Easy Connect Now,  health_and_fitness  ,4.1,5,10.6,10,Free,0,Everyone 10+,Health And Fitness;Creativity,14-04-2026,1.7.44
Meta Maker 2025,Music,4.3,2017,51.7,50000,Free,0,Everyone,Tools,31-01-2026,13.5.84
Instagram_177,MUSIC,4.3,8,,500,Free,0,Everyone,Tools,01-07-2023,7.11.58
VPN 2024_3122,Game,4.3,5,220.7,500,Free,0,Everyone,Game;Simulation,11-05-2026,3.15.29
Pro Drive Space,Maps_And_Navigation,4.7,11,82.6,1000,Free,0,Everyone,Maps And Navigation,19-08-2025,3.4.60
Epic Instagram Pro,Social,4,0,101.1,10,Free,0,Everyone,Family,13-03-2024,6.10.48
Hyper Strike Now,Social,4.3,2,93.3,50,Free,0,Everyone,Artificial Intelligence,09-05-2023,8.4.66
Crypto Fit Plus,game,5,12,78.6,500,Free,0,Everyone,Game;RPG,03-05-2026,3.16.89
AI SnapChat,Game,4.3,2,90.05,10,Free,0,Everyone 10+,Game;Strategy,15-03-2026,Varies with device
Neo Telegram AI,Social  ,4,3,141.3,50,Free,0,Teen,Family,09-05-2026,15.2.85
Instagram,Social,3.5,10503932,90.05,500000000,Paid,0.99,Everyone,Family,08-11-2024,Varies with device
Ultra Telegram Max,Game,4.3,1,295.8,50,Free,0,Everyone,Game;RPG,03-05-2026,14.3.34
Wallet Premium,Sports,4.1,363,71.3,10000,Free,0,Teen,Sports,22-05-2025,7.13.56
My Strike,  Social,4.5,2140,96.4,50000,Paid,2.99,Everyone,Art And Design,13-01-2026,13.1.72
Crypto Pay App,Social  ,3.2,15,193.7,500,Free,0,Everyone,Art And Design;Creativity,02-06-2025,2.14.66
Dash Space_1231,social,4,1,99.3,50,Free,0,Everyone,Family;Creativity,04-07-2025,9.11.64
AI Instagram Premium,Social,,5,144.2,50,Free,0,Teen,Social;Creativity,19-11-2025,2.19.98
Fit Go 2026,Social,4.3,4,13.3,10,Free,0,Everyone,Artificial Intelligence,01-10-2024,15.12.0
Neo Dash Go,Music,4,3,135.7,100,Free,0,Everyone 10+,Tools,24-10-2025,13.9.26
Browser Space,Social,4.5,1632,93.2,50000,Free,0,Everyone 10+,Family,09-04-2026,10.13.41
Daily Craft Now,  Game,4.3,4,90.05,50,Free,0,Everyone,Game;RPG,15-09-2025,Varies with device
Lite Strike,  social  ,4.9,4479,104.3,100000,Free,0,Everyone 10+,Artificial Intelligence,14-04-2026,6.8.2
Player 2023_141,game,5,13,90.05,500,Free,0,Everyone,Game;Action,27-10-2024,Varies with device
Quick Editor 2025,Video_Players,4.2,1,203.9,100,Free,0,Everyone,Video Players,23-01-2024,9.8.83
Ultra Fit,Game,4.3,3,1990.6,500,Free,0,Everyone,Game;Board,07-06-2025,4.0.81
Quick Dash Max,Productivity,4,0,41,10,Free,0,Teen,Productivity,11-03-2023,10.16.94
Super Chat Premium,FINANCE,4,1,43.9,50,Free,0,Everyone,Finance,27-01-2023,9.7.28
Hyper Maker Hub,Game,4.3,3,1639.6,10,Free,0,Everyone,Game;Casual,04-12-2025,4.7.65
Connect 2026,Productivity,3.9,32,10.5,1000,Free,0,Teen,Productivity,25-12-2025,14.7.54
Ultra Editor,productivity,4.8,232,92.3,5000,Free,0,Everyone,Productivity,28-04-2026,13.5.78
Easy VPN Hub,Game,,5,1412.2,50,Free,0,Teen,Game;Simulation,22-12-2025,2.5.3
Daily Telegram,Social,3.7,5,127.8,100,Paid,4.99,Teen,Education,07-08-2025,14.0.10
Hyper Wallet,Personalization,4.1,1864,,50000,Free,0,Everyone,Personalization;Creativity,17-05-2026,1.16.37
Meta Drive Go,Social,4,4,27.1,100,Paid,1.99,Everyone,Family;Creativity,29-04-2026,2.11.14
Quick Maker App,social,4,0,67.1,10,Free,0,Teen,Medical;Creativity,19-09-2025,9.12.91
Lite Drive 3D,Social,3.4,8126,95.6,500000,Free,0,Teen,Family,07-01-2026,1.19.29
Lite Learn,Social,4,3,91.9,50,Free,0,Everyone,Family,13-12-2025,1.18.83
Fit 3D_9683,  Game,4.3,4,1745.8,10,Free,0,Everyone,Game;Puzzle,03-09-2023,14.5.46
Lite VPN,Food_And_Drink,4.3,2148,127.6,50000,Free,0,Everyone,Food And Drink,12-04-2024,3.15.89
Epic VPN,Social,3.3,199,90.05,10000,Free,0,Teen,Social,29-07-2024,Varies with device
Smart Learn App,Game,4.3,2,90.05,10,Free,0,Adults only 18+,Game;Strategy,20-12-2025,Varies with device
Ultra VPN Hub,Productivity,4.7,13,19.6,1000,Free,0,Teen,Productivity,31-12-2024,2.1.80
Chat App,Shopping  ,3.5,299,5.2,10000,Free,0,Everyone,Shopping,22-05-2026,13.13.32
Next Health Online,Game,4.8,162,912.6,5000,Free,0,Teen,Game;Puzzle,02-06-2024,2.2.42
Fit Pro,Social,4.2,23773,107.3,1000000,Free,0,Everyone,Family,23-05-2026,15.7.35
Lite VPN Online,Music,3.5,14527,,500000,Free,0,Everyone 10+,Tools,07-10-2022,8.3.9
Strike 2023,  Social,3.6,2680,53.1,100000,Free,0,Everyone,Artificial Intelligence,28-09-2025,9.20.41
Crypto Connect Pro 2026,  social  ,4,4,116.6,10,Free,0,Everyone,Family,04-12-2024,13.14.79
Browser Go 2024,SOCIAL,4.5,18,128.7,500,Free,0,Everyone 10+,Social,26-05-2026,15.7.66
Daily Strike Premium,social,3.9,35,55.9,5000,Free,0,Everyone,Family;Creativity,30-07-2024,7.6.68
Pay AI,House_And_Home,4,69,103.7,5000,Free,0,Teen,House And Home,13-01-2026,12.6.7
Pro Health Premium,Game,5,21,90.05,500,Paid,4.99,Everyone,Game;RPG,04-07-2023,Varies with device
AI Tracker Online,Books_And_Reference,3.6,30,90.6,1000,Free,0,Everyone,Books And Reference,07-07-2025,5.18.23
Wallet Plus,Social,3.9,46,106,5000,Free,0,Everyone,Medical,06-08-2025,8.18.22
Next Browser App,  Social,3.2,45761,127.3,1000000,Free,0,Everyone,Family,03-03-2026,2.13.21
Pro Connect Plus,Social,4,1,13.4,100,Free,0,Everyone,Family,17-10-2023,15.12.17
Epic Browser,Social,4,9,96.8,500,Free,0,Teen,Artificial Intelligence,13-07-2024,5.12.46
Learn Go,Social,4.4,19056,42.5,500000,Free,0,Everyone,Family,10-05-2026,14.4.16
Daily Wallet,Productivity,4.1,7,5.7,500,Free,0,Everyone 10+,Productivity,05-04-2026,14.4.8
Lite Health Now,  social  ,4,0,73.9,100,Free,0,Everyone,Family,22-07-2024,13.17.13
Browser AI 2023_7096,Social,4,5,142.9,100,Free,0,Everyone,Artificial Intelligence,30-05-2025,12.6.91
Craft Max,Productivity,,194,90.05,5000,Free,0,Everyone,Productivity;Creativity,07-11-2025,Varies with device
Lite VPN 2026,  Social,3.2,4204,129.9,100000,Free,0,Everyone,Family,25-12-2025,11.9.4
Connect_8668,  Social,5,242,90.05,10000,Free,0,Teen,Family,26-06-2024,Varies with device
Daily Player App,Social,4.1,28920,90.4,1000000,Free,0,Everyone,Family,31-08-2023,15.17.83
Smart Player Online,  entertainment  ,2.4,49,105,5000,Free,0,Everyone 10+,Entertainment;Creativity,10-04-2026,12.7.97
Quick Learn Space,Social,4,4,83.1,100,Free,0,Everyone,Family;Creativity,12-04-2025,1.20.85
Meta Browser 3D,Game,4.5,40,249.2,1000,Free,0,Everyone,Game;RPG,07-07-2025,2.0.7
Pay Pro 2026,  game  ,3.3,19,90.05,1000,Free,0,Everyone,Game;Board,21-04-2023,Varies with device
Quick Browser,  food_and_drink  ,3.8,22,79.2,500,Free,0,Everyone,Food And Drink,09-02-2024,15.16.15
Smart Tracker,Game,4.2,47334,1277.5,1000000,Free,0,Everyone,Game;RPG,29-10-2025,10.10.60
Lite Craft Premium,Game,,1171,90.05,50000,Free,0,Mature 17+,Game;RPG,18-02-2026,Varies with device
AI Editor Pro,Productivity,4,1,15.2,100,Free,0,Everyone,Productivity,11-10-2024,6.6.48
Daily Craft 3D,Social,4.2,0,108.8,10,Free,0,Everyone,Education;Creativity,05-04-2025,15.8.0
Instagram Plus 2026,SOCIAL,3.5,120,17.7,5000,Free,0,Everyone,Artificial Intelligence;Creativity,18-05-2025,4.19.3
Meta Editor,Social,3.8,47629,109.6,1000000,Free,0,Everyone,Family,28-04-2026,6.20.54
Easy Health 2026,finance,4,0,120.7,10,Free,0,Everyone,Finance,07-06-2026,15.1.54
Ultra Player AI,Game,4.3,0,90.05,50,Free,0,Everyone,Game;Card,02-11-2024,Varies with device
AI Wallet Space,Photography,4.5,5799,90.05,1000000,Free,0,Everyone,Photography,28-02-2025,Varies with device
Smart Health Pro,GAME,4,6,90.05,500,Free,0,Everyone,Game;Shooter,27-12-2024,Varies with device
Super Craft Pro,Social,4,2,59,50,Free,0,Everyone,Family,09-11-2025,8.9.96
Health 2024,Web3_And_Crypto,3.7,2402,103.5,50000,Free,0,Mature 17+,Web3 And Crypto,05-06-2026,11.16.5
Meta Wallet Pro,books_and_reference,3.5,25,,1000,Free,0,Mature 17+,Books And Reference,04-04-2026,2.4.95
Pro Chat App,Social,4.4,5,79.1,100,Free,0,Everyone,Family,28-04-2024,12.3.72
Ultra Telegram Max,Game,4.3,1,295.8,50,Free,0,Everyone,Game;RPG,03-05-2026,14.3.34
Daily VPN Max,House_And_Home,3.5,2364,27.7,100000,Free,0,Everyone,House And Home,04-10-2025,8.11.45
TikTok,Social,4.2,1428040,80.1,100000000,Free,0,Teen,Medical,01-02-2026,3.1.10
Epic Player App,Beauty,4,5,68.3,50,Free,0,Everyone,Beauty,18-10-2024,10.10.8
Quick Tracker Premium,Social  ,4,4,127.5,500,Free,0,Everyone,Family,04-02-2025,9.17.11
Easy Strike,Music,4,3,74.7,100,Free,0,Everyone,Tools,15-02-2026,3.6.41
Connect Go 2026,  personalization  ,3.3,130,73.2,5000,Free,0,Everyone,Personalization,24-03-2026,9.3.20
Ultra Instagram,Communication,4.8,129464,118.7,5000000,Free,0,Everyone,Communication,06-11-2025,10.11.54
Meta VPN App,Game,4.7,25,856.6,1000,Free,0,Teen,Game;Action,28-05-2025,8.6.75
Hyper Pay App,Music,4,4,65.8,100,Free,0,Everyone 10+,Tools,18-06-2026,2.10.29
Ultra VPN Now,Social,4,2,115,50,Paid,1.99,Everyone,Family,05-03-2022,11.2.84
Easy Pay Premium,Social,4,0,49.9,10,Free,0,Everyone 10+,Family,15-06-2024,9.4.54
My Dash Space,Finance,3.8,5,118.6,100,Free,0,Everyone,Finance,26-12-2025,2.6.1
Daily Strike App,Finance,4,3,26.6,500,Free,0,Everyone,Finance,17-01-2023,9.14.82
Meta Connect 2025,Entertainment,5,22160,67.9,1000000,Free,0,Everyone,Entertainment,25-01-2026,9.18.7
Smart Telegram Now 2023,Travel_And_Local  ,4,2,135.5,10,Free,0,Everyone,Travel And Local,02-06-2025,6.14.10
Lite Fit 2024,Communication,4.4,239,96.4,10000,Free,0,Everyone,Communication,06-04-2026,13.3.93
Fit 2025,  social  ,,26830,139.9,1000000,Free,0,Everyone,Family,24-09-2025,5.16.76
Epic Tracker App,beauty,4,3,40.6,50,Free,0,Everyone,Beauty,21-12-2024,9.5.81
Pay_3241,Social,4.3,7384,132,1000000,Free,0,Everyone,Family,24-08-2025,2.17.29
Meta Instagram Max,House_And_Home,4,3,118.5,50,Free,0,Everyone,House And Home,22-03-2026,10.3.49
Instagram_1404,Social,4,1,63.6,50,Free,0,Teen,Medical,28-04-2026,13.10.48
Easy Telegram Online,Game,4.7,19,1707,500,Free,0,Everyone,Game;RPG,24-02-2024,6.7.54
Epic Instagram Premium,Productivity,3.6,42,16,1000,Free,0,Everyone,Productivity,15-04-2026,12.19.56
Next Drive Online,Business,3.4,4344,37,100000,Free,0,Everyone,Business,14-10-2025,2.11.83
Quick Player Space 2024,Finance,4,3,90.05,100,Free,0,Everyone,Finance,29-06-2026,Varies with device
Ultra Health,Music,2.2,31971,90.05,1000000,Paid,2.99,Everyone,Tools,13-06-2024,Varies with device
Pay_4284,Web3_And_Crypto,4.1,0,90.05,100,Free,0,Mature 17+,Web3 And Crypto;Creativity,28-05-2025,Varies with device
Quick Editor,Social,4.4,2062,138.5,50000,Free,0,Everyone,Family,06-04-2025,8.1.92
Tracker Premium 2023,Web3_And_Crypto,4.1,4,112.7,100,Free,0,Mature 17+,Web3 And Crypto,29-12-2025,4.6.47
Crypto Telegram Premium,Books_And_Reference,3.5,329,129.6,10000,Free,0,Everyone 10+,Books And Reference;Creativity,07-06-2026,14.6.86
Chat Pro,Game,3.6,4833,1841.8,500000,Free,0,Adults only 18+,Game;RPG,05-05-2026,2.8.55
Next Telegram_2811,Music,4,0,18.1,10,Free,0,Teen,Tools,13-06-2025,3.3.35
Health App 2023,Social,3.4,48,,5000,Free,0,Everyone,Family,12-12-2025,12.0.97
Editor Hub 2025,Books_And_Reference,3.8,2,16.9,100,Free,0,Everyone,Books And Reference,11-06-2023,10.4.75
Lite Instagram AI 2026,Finance,4,2,22.3,10,Free,0,Everyone,Finance,20-09-2025,12.1.87
My Chat Space,Social,3.6,48,19.6,1000,Free,0,Teen,Family,29-06-2025,4.11.43
Quick Connect,SOCIAL,4.4,667,64.6,50000,Free,0,Teen,Artificial Intelligence;Creativity,03-03-2026,5.8.38
Easy SnapChat,Social,4.8,868,,50000,Free,0,Everyone,Art And Design,21-06-2026,6.8.31
Crypto Strike,Health_And_Fitness,2.8,3803,73.1,100000,Free,0,Everyone,Health And Fitness,03-10-2025,15.3.17
Smart Craft Online,Health_And_Fitness,3.8,37,117.8,5000,Free,0,Everyone 10+,Health And Fitness,14-08-2023,8.19.56
Crypto Spotify,Music,4,4,32.8,50,Free,0,Teen,Tools,14-06-2025,3.3.97
Pay Hub 2024,Social,4.1,1182,85.4,50000,Free,0,Everyone,Social,09-06-2026,12.14.92
Quick Telegram App,Finance,4.3,245,78.2,10000,Free,0,Everyone,Finance,19-10-2025,15.4.68
Next Pay Plus,Social  ,4.5,14,88.6,500,Free,0,Teen,Social;Creativity,23-12-2025,7.5.80
Ultra Fit Premium,Social,3.4,246,12.5,5000,Free,0,Everyone,Artificial Intelligence,14-02-2025,6.3.82
Ultra Connect Space,Food_And_Drink  ,,5,67.4,10,Free,0,Everyone,Food And Drink,21-06-2026,8.5.62
Neo Fit Go,Social,4,0,90.05,50,Paid,9.99,Teen,Family,09-03-2026,Varies with device
Dash 2025,  virtual_reality  ,4.2,40,225.2,1000,Free,0,Everyone,Virtual Reality,30-04-2025,8.10.29
Meta Tracker Hub,Music,4,4,94.3,50,Free,0,Teen,Tools,08-07-2025,12.4.55
Tracker_5838,Social,3.9,1,90.05,50,Free,0,Everyone 10+,Social;Creativity,23-01-2026,Varies with device
Pro Learn Premium,Food_And_Drink,3.95,0,36.6,10,Free,0,Everyone 10+,Food And Drink,23-12-2025,8.20.21
Hyper Strike Hub,Shopping,,4,143.4,10,Paid,9.99,Everyone,Shopping,30-10-2025,1.1.8
Pro Maker App,COMMUNICATION,3,22,134.3,500,Free,0,Everyone,Communication,05-09-2025,2.19.44
Next Health Space,Social,4.6,5585,16.2,500000,Free,0,Everyone,Family,15-02-2026,11.17.22
Next Dash Space 2025,Personalization,4,1,114.3,10,Free,0,Everyone,Personalization,06-04-2025,7.13.58
Pro Instagram 3D,Social,5,446244,78.1,10000000,Free,0,Everyone 10+,Education,13-10-2023,15.14.26
My Learn Go,lifestyle,4,4,86.2,10,Free,0,Everyone,Lifestyle,18-03-2023,1.16.83
Instagram Premium 2026,  game  ,4.3,4,1277.5,10,Free,0,Everyone,Game;Simulation,07-03-2026,5.10.25
Crypto Wallet Pro,Productivity,4,4,90.05,100,Free,0,Everyone,Productivity,07-11-2024,Varies with device
Meta Instagram Online,Game,4.6,39,667.2,1000,Paid,4.99,Everyone,Game;Strategy,11-01-2026,10.5.43
Strike Now,Game,3.4,4793,90.05,100000,Free,0,Everyone,Game;Puzzle,06-11-2024,Varies with device
Epic Tracker Pro,Productivity,4,1,90.05,100,Free,0,Everyone,Productivity,03-04-2025,Varies with device
Pro Fit Max,Music,4,4,67.5,100,Free,0,Everyone,Tools,15-02-2025,10.13.98
Strike 2025,AUTO_AND_VEHICLES,4.2,188,97.1,10000,Free,0,Everyone,Auto And Vehicles,01-07-2025,4.15.28
Neo Facebook,Productivity,3.8,22293,90.05,500000,Free,0,Teen,Productivity,11-06-2026,Varies with device
Daily Pay Plus,  finance  ,3.2,78,90.05,5000,Free,0,Everyone,Finance,11-04-2026,Varies with device
Chat Space,Finance,3.5,161,18.3,10000,Free,0,Everyone,Finance,09-02-2024,2.16.58
Super Learn Online,House_And_Home,4,3,70.4,50,Free,0,Everyone,House And Home,27-10-2023,7.17.0
Quick Learn Max,Sports,,1,126.5,50,Free,0,Everyone,Sports;Creativity,18-10-2025,10.11.46
Ultra Pay,FINANCE,4.3,157,41,5000,Free,0,Everyone,Finance,01-06-2026,12.11.89
AI Maker Max,News_And_Magazines,4.1,3,90.05,10,Free,0,Teen,News And Magazines;Creativity,22-09-2025,Varies with device
My Learn Online,Social,4,2,149.3,100,Free,0,Everyone,Family;Creativity,26-05-2026,2.9.4
Health,Weather,4.9,1581611,52.9,50000000,Free,0,Everyone,Weather,01-11-2025,2.13.33
Pay Plus 2023,Music,3.9,246,62.2,5000,Free,0,Everyone,Tools,22-02-2026,7.14.35
Meta SnapChat,Music,2.8,905,34.9,50000,Free,0,Everyone,Tools,13-11-2024,6.10.38
Super Player,Social,3.9,188,103.4,10000,Free,0,Teen,Family;Creativity,30-03-2025,6.3.21
Telegram Plus,Social,4.6,33708,133.7,1000000,Free,0,Teen,Education,22-02-2024,15.17.71
Easy Telegram AI,productivity,4,2,71.9,10,Free,0,Everyone,Productivity;Creativity,24-06-2026,13.19.61
Wallet Hub 2026,Finance,4.1,333,10.2,10000,Free,0,Everyone,Finance,08-02-2025,12.19.22
AI Drive,Food_And_Drink,4.2,26,62.8,1000,Free,0,Everyone,Food And Drink,26-04-2024,11.6.90
Quick Tracker Go,Social,4,2406,63.8,50000,Free,0,Everyone,Family,10-08-2025,3.10.20
Hyper Telegram AI 2025,Productivity,4,4,18.3,50,Free,0,Mature 17+,Productivity,14-02-2024,4.10.79
Neo Health App,social,4.2,247,44.9,5000,Free,0,Everyone 10+,Artificial Intelligence,03-06-2025,7.0.63
Neo VPN Pro,Food_And_Drink,4.1,12,145.8,1000,Free,0,Everyone,Food And Drink,12-10-2025,9.3.3
Smart Tracker Max 2026,Music,4,0,10,10,Free,0,Teen,Tools,27-07-2025,11.3.68
Pay_9221,  Game,3.1,12,90.05,1000,Free,0,Everyone,Game;RPG,08-03-2025,Varies with device
Neo Dash,Food_And_Drink,3.3,5204,47,500000,Free,0,Everyone,Food And Drink,18-02-2025,7.4.96
Chat 3D,  maps_and_navigation  ,,2490,131.5,50000,Free,0,Everyone,Maps And Navigation;Creativity,19-04-2026,9.0.80
Ultra Pay Online,Game,4.3,1,652,50,Free,0,Everyone,Game;Casual,04-01-2026,12.8.41
Hyper Instagram Go,Finance,4,0,104.9,50,Free,0,Everyone,Finance,20-05-2026,6.17.75
Easy Wallet Now_5730,  Maps_And_Navigation,4.3,20,39.4,500,Free,0,Everyone,Maps And Navigation,17-02-2024,7.8.69
Next Dash Pro,Productivity,4,2,98.5,100,Free,0,Everyone 10+,Productivity,05-05-2024,1.3.1
Daily Chat App,social,3.8,23,87.3,500,Free,0,Everyone,Family;Creativity,24-05-2025,2.0.10
Crypto Maker,Social,4.2,177,,5000,Free,0,Everyone,Education,11-01-2024,12.2.31
Connect Go 2024,Game,4.3,3,279.3,500,Free,0,Everyone,Game;Simulation,22-02-2026,9.0.74
Lite Health Premium,Game,5,5,1711.3,500,Free,0,Everyone 10+,Game;Puzzle,22-12-2025,9.10.23
Player Now,Game,4,15,90.05,1000,Free,0,Everyone,Game;Action,12-06-2024,Varies with device
Quick Instagram,Finance,5,4941,90.05,100000,Free,0,Everyone,Finance,27-05-2026,Varies with device
Neo Browser 2023,Social,3,5,117.7,50,Free,0,Everyone,Family,07-10-2025,6.7.43
Ultra Maker Space,Travel_And_Local,4.7,5,90.05,100,Paid,2.99,Everyone,Travel And Local,16-08-2025,Varies with device
Pay 2023,Social,3.3,2253,90.05,50000,Free,0,Everyone,Family,22-08-2022,Varies with device
Neo Craft Go,Social,3.9,2,95.9,50,Free,0,Everyone,Social;Creativity,05-11-2023,10.4.61
Hyper Player,Social,3.2,2235,133.3,50000,Free,0,Everyone,Family,06-11-2025,2.8.59
Ultra Telegram Space 2024,Personalization,4,2,119.2,50,Free,0,Mature 17+,Personalization,05-06-2025,12.11.19
Smart Connect 2024,Game,4.3,0,90.05,10,Free,0,Everyone,Game;Action,23-08-2025,Varies with device
Dash Online 2023,Music,4,0,77.3,10,Free,0,Unrated,Tools,25-02-2024,14.18.100
Chat Hub,  social  ,3.5,19128,57.4,500000,Free,0,Teen,Family,10-11-2025,6.14.29
Meta Health Max,Social,3.3,23314,9.2,500000,Free,0,Everyone,Social,06-12-2023,12.5.50
Neo Craft AI,Social,,2,136.1,10,Free,0,Everyone,Social,03-11-2025,11.5.12
Pro Pay Space,  social  ,4,1,136.1,100,Free,0,Unrated,Family,17-02-2026,2.11.11
Connect Max 2024,Game,5,10120,90.05,500000,Free,0,Everyone,Game;Simulation,26-04-2026,Varies with device
Super Strike Max,Social,4.4,187,,10000,Free,0,Adults only 18+,Family,11-02-2024,11.3.54
