App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Revenue Estimate,Review Engagement,Install Group,Rating Class
Daily Strike 2025,Social,4.0,4,90.05,10,Free,0.0,Everyone,Family,29-10-2025,Varies with device,0.0,0.4,Low,Good
Daily Strike AI,Video_Players,4.2,3,48.1,100,Free,0.0,Mature 17+,Video Players,01-09-2023,9.12.41,0.0,0.03,Low,Good
Daily Strike App,Finance,4.0,3,26.6,500,Free,0.0,Everyone,Finance,17-01-2023,9.14.82,0.0,0.006,Low,Good
Daily Strike Premium,Social,3.9,35,55.9,5000,Free,0.0,Everyone,Family;Creativity,30-07-2024,7.6.68,0.0,0.007,Low,Good
Daily Telegram,Social,3.7,5,127.8,100,Paid,4.99,Teen,Education,07-08-2025,14.0.10,499.0,0.05,Low,Good
Daily Telegram Go,Web3_And_Crypto,2.8,4579,95.8,100000,Free,0.0,Mature 17+,Web3 And Crypto,24-01-2026,14.5.15,0.0,0.04579,Medium,Average
Daily Telegram Hub,Game,4.1,33,1776.6,1000,Free,0.0,Teen,Game;Card,04-02-2026,1.16.29,0.0,0.033,Low,Good
Daily Telegram Now,Social,3.8,19,103.7,500,Free,0.0,Everyone,Family,01-08-2025,5.3.54,0.0,0.038,Low,Good
Daily Tracker,Social,4.3,14,43.4,1000,Free,0.0,Mature 17+,Art And Design,07-03-2025,3.2.92,0.0,0.014,Low,Good
Daily Tracker Go,Social,4.8,5,113.9,50,Free,0.0,Teen,Artificial Intelligence;Creativity,17-04-2026,5.7.98,0.0,0.1,Low,Excellent
Daily Tracker Hub,Social,3.9,1,136.0,10,Free,0.0,Everyone,Social,16-12-2025,9.8.83,0.0,0.1,Low,Good
Daily Tracker Max,Shopping,4.3,14,35.3,500,Free,0.0,Everyone,Shopping,26-12-2025,1.19.46,0.0,0.028,Low,Good
Daily VPN,Social,4.3,1190,34.5,100000,Free,0.0,Teen,Family,14-05-2026,2.13.43,0.0,0.0119,Medium,Good
Daily VPN 3D,Finance,3.8,30316,14.0,1000000,Free,0.0,Everyone,Finance;Creativity,30-05-2026,11.6.25,0.0,0.030316,High,Good
Daily VPN AI,Social,2.6,69,27.4,10000,Free,0.0,Everyone,Social,22-12-2021,9.2.14,0.0,0.0069,Low,Average
Daily VPN Max,House_And_Home,3.5,2364,27.7,100000,Free,0.0,Everyone,House And Home,04-10-2025,8.11.45,0.0,0.02364,Medium,Average
Daily VPN Pro,Productivity,4.0,3,81.6,10,Free,0.0,Everyone 10+,Productivity,09-04-2026,8.19.6,0.0,0.3,Low,Good
Daily Wallet,Productivity,4.1,7,5.7,500,Free,0.0,Everyone 10+,Productivity,05-04-2026,14.4.8,0.0,0.014,Low,Good
Daily Wallet 2024,Entertainment,4.8,17,90.05,500,Free,0.0,Everyone,Entertainment,03-02-2025,Varies with device,0.0,0.034,Low,Excellent
Daily Wallet AI,Social,4.4,35,31.1,5000,Free,0.0,Everyone,Family,15-04-2026,14.8.39,0.0,0.007,Low,Good
Daily Wallet App,Social,4.0,0,59.2,50,Free,0.0,Everyone,Family;Creativity,23-01-2025,11.16.47,0.0,0.0,Low,Good
Daily Wallet Pro,Social,4.0,0,134.1,10,Free,0.0,Everyone,Family;Creativity,13-12-2025,3.16.88,0.0,0.0,Low,Good
Daily Wallet Space,Productivity,3.6,20,55.3,1000,Free,0.0,Teen,Productivity,30-08-2025,5.2.54,0.0,0.02,Low,Good
Dash,Web3_And_Crypto,4.6,127624,99.2,5000000,Free,0.0,Mature 17+,Web3 And Crypto,20-05-2025,2.16.31,0.0,0.0255248,Very High,Excellent
Dash 2023,Social,4.1,36852,16.5,1000000,Free,0.0,Teen,Social,03-05-2025,11.14.3,0.0,0.036852,High,Good
Dash 2024,Social,4.0,468,110.1,10000,Free,0.0,Everyone,Family;Creativity,10-02-2024,12.17.35,0.0,0.0468,Low,Good
Dash 2025,Virtual_Reality,4.2,40,225.2,1000,Free,0.0,Everyone,Virtual Reality,30-04-2025,8.10.29,0.0,0.04,Low,Good
Dash 2026,Auto_And_Vehicles,4.4,44,31.5,1000,Free,0.0,Everyone 10+,Auto And Vehicles,06-03-2024,15.12.41,0.0,0.044,Low,Good
Dash 3D,Music,4.7,166,126.3,5000,Free,0.0,Everyone,Tools;Creativity,20-09-2025,5.5.83,0.0,0.0332,Low,Excellent
Dash AI,Game,3.4,102,611.6,10000,Free,0.0,Teen,Game;Casual,25-11-2025,15.13.23,0.0,0.0102,Low,Average
Dash App,Music,4.8,3694,19.2,100000,Free,0.0,Everyone,Tools,26-06-2025,4.3.10,0.0,0.03694,Medium,Excellent
Dash App 2024,Social,4.0,0,98.6,10,Free,0.0,Everyone,Family,19-01-2026,3.7.97,0.0,0.0,Low,Good
Dash App_5296,Productivity,4.0,1,78.0,100,Paid,1.99,Teen,Productivity,21-05-2025,5.2.76,199.0,0.01,Low,Good
Dash Go,Productivity,4.4,2019,137.8,100000,Free,0.0,Everyone 10+,Productivity,12-03-2024,8.7.13,0.0,0.02019,Medium,Good
Dash Go 2026,Communication,4.0,3,140.9,50,Free,0.0,Everyone,Communication,26-12-2023,5.20.8,0.0,0.06,Low,Good
Dash Hub,Game,5.0,4773,136.6,500000,Free,0.0,Teen,Game;Simulation,03-11-2025,15.10.38,0.0,0.009546,High,Excellent
Dash Hub_9708,Productivity,3.0,23,141.3,500,Free,0.0,Everyone,Productivity,15-02-2026,3.12.72,0.0,0.046,Low,Average
Dash Max,Shopping,4.2,643,72.4,50000,Free,0.0,Everyone,Shopping,19-09-2025,2.14.4,0.0,0.01286,Medium,Good
Dash Max 2023,Finance,4.0,248,108.3,5000,Free,0.0,Everyone 10+,Finance,06-12-2024,9.17.15,0.0,0.0496,Low,Good
Dash Now,Music,4.7,3469,90.05,100000,Free,0.0,Everyone,Tools;Creativity,08-11-2024,Varies with device,0.0,0.03469,Medium,Excellent
Dash Now 2026,Music,4.3,102,121.8,5000,Free,0.0,Everyone,Tools,02-04-2025,14.0.32,0.0,0.0204,Low,Good
Dash Online,Social,4.3,594416,63.8,50000000,Free,0.0,Everyone,Family,22-08-2025,14.18.71,0.0,0.01188832,Very High,Good
Dash Online 2023,Music,4.0,0,77.3,10,Free,0.0,Unrated,Tools,25-02-2024,14.18.100,0.0,0.0,Low,Good
Dash Online 2026,Finance,4.1,4502,87.5,100000,Free,0.0,Everyone,Finance,20-02-2026,13.19.67,0.0,0.04502,Medium,Good
Dash Plus,Game,4.7,3865,704.1,100000,Free,0.0,Mature 17+,Game;Strategy,24-10-2024,1.9.32,0.0,0.03865,Medium,Excellent
Dash Plus 2024,House_And_Home,3.5,997,7.2,50000,Free,0.0,Everyone,House And Home,14-06-2025,3.2.44,0.0,0.01994,Medium,Average
Dash Premium,House_And_Home,4.2,188,28.3,10000,Free,0.0,Everyone,House And Home,13-12-2025,7.0.78,0.0,0.0188,Low,Good
Dash Pro,Social,3.9,12900,120.0,500000,Free,0.0,Everyone,Family,08-06-2026,12.3.0,0.0,0.0258,High,Good
Dash Pro 2023,Books_And_Reference,3.8,1,124.5,50,Free,0.0,Everyone,Books And Reference,18-02-2026,14.16.9,0.0,0.02,Low,Good
Dash Pro 2025,Productivity,4.8,10,85.2,500,Free,0.0,Teen,Productivity,26-06-2024,8.14.11,0.0,0.02,Low,Excellent
Dash Space,Social,4.2,26,55.0,1000,Free,0.0,Everyone,Family,03-01-2024,1.4.68,0.0,0.026,Low,Good
Dash Space 2024,Social,4.0,2,20.7,10,Free,0.0,Everyone,Family,23-01-2026,9.1.40,0.0,0.2,Low,Good
Dash Space_1231,Social,4.0,1,99.3,50,Free,0.0,Everyone,Family;Creativity,04-07-2025,9.11.64,0.0,0.02,Low,Good
Dash Space_7571,Music,3.8,5,37.1,10,Paid,4.99,Everyone,Tools,22-05-2025,14.9.48,49.900000000000006,0.5,Low,Good
Dash_2545,Social,3.9,2,12.6,50,Free,0.0,Teen,Social,25-06-2024,15.8.43,0.0,0.04,Low,Good
Dash_471,Game,4.3,0,533.1,50,Free,0.0,Everyone,Game;Shooter,01-08-2025,5.3.33,0.0,0.0,Low,Good
Drive,Social,3.6,1379884,86.0,50000000,Free,0.0,Teen,Family,20-06-2025,2.2.86,0.0,0.02759768,Very High,Good
Drive 2023,Personalization,3.9,1815,22.2,50000,Free,0.0,Everyone,Personalization,23-03-2025,5.5.26,0.0,0.0363,Medium,Good
Drive 2024,Virtual_Reality,4.3,703,178.8,50000,Free,0.0,Adults only 18+,Virtual Reality,08-03-2026,6.5.29,0.0,0.01406,Medium,Good
Drive 2025,Social,5.0,7,45.2,1000,Free,0.0,Teen,Artificial Intelligence,22-05-2025,4.13.28,0.0,0.007,Low,Excellent
Drive 2025_7900,Game,4.4,4959,1042.5,500000,Free,0.0,Teen,Game;Simulation,17-12-2025,12.15.62,0.0,0.009918,High,Good
Drive 2026,Game,4.3,2,90.05,100,Free,0.0,Everyone,Game;Card,23-12-2023,Varies with device,0.0,0.02,Low,Good
Drive 3D,Social,5.0,166397,51.4,5000000,Free,0.0,Teen,Family,23-07-2025,8.19.10,0.0,0.0332794,Very High,Excellent
Drive 3D 2023,Music,4.0,4,137.7,500,Free,0.0,Everyone,Tools;Creativity,23-07-2024,15.13.94,0.0,0.008,Low,Good
Drive 3D 2026,Social,4.0,171,90.05,5000,Free,0.0,Everyone,Artificial Intelligence,10-02-2026,Varies with device,0.0,0.0342,Low,Good
Drive AI,Social,3.8,782,99.7,50000,Free,0.0,Everyone,Family,07-06-2026,15.17.26,0.0,0.01564,Medium,Good
Drive AI 2024,Social,3.2,22,6.2,500,Free,0.0,Everyone,Family;Creativity,10-02-2026,3.15.42,0.0,0.044,Low,Average
Drive AI 2025,Social,4.3,2,28.3,50,Free,0.0,Mature 17+,Artificial Intelligence,13-12-2024,5.17.96,0.0,0.04,Low,Good
Drive App,Photography,4.0,852994,90.05,50000000,Free,0.0,Everyone,Photography,23-07-2025,Varies with device,0.0,0.01705988,Very High,Good
Drive App 2025,Social,4.4,226,115.0,5000,Free,0.0,Everyone,Medical,07-01-2026,2.8.42,0.0,0.0452,Low,Good
Drive Go,Social,3.2,153,64.3,5000,Free,0.0,Everyone,Medical,03-03-2026,5.19.57,0.0,0.0306,Low,Average
Drive Go 2024,Productivity,4.1,186,137.9,5000,Free,0.0,Mature 17+,Productivity,21-05-2026,12.7.43,0.0,0.0372,Low,Good
Drive Hub,Social,4.6,20767,7.6,1000000,Free,0.0,Teen,Social,26-04-2026,14.3.39,0.0,0.020767,High,Excellent
Drive Hub 2023,Productivity,3.2,357,109.6,10000,Free,0.0,Everyone,Productivity,06-12-2025,13.18.40,0.0,0.0357,Low,Average
Drive Hub 2026,Game,4.3,125,705.9,5000,Free,0.0,Teen,Game;Puzzle,24-01-2023,1.17.13,0.0,0.025,Low,Good
Drive Max,Weather,4.1,2179,90.05,50000,Free,0.0,Everyone,Weather,14-06-2024,Varies with device,0.0,0.04358,Medium,Good
Drive Max 2026,Social,5.0,14,14.1,500,Free,0.0,Mature 17+,Social,19-04-2026,10.16.29,0.0,0.028,Low,Excellent
Drive Max_10149,Game,4.3,5,90.05,10,Free,0.0,Everyone,Game;Puzzle,30-09-2025,Varies with device,0.0,0.5,Low,Good
Drive Now,Video_Players,4.8,361,282.7,10000,Free,0.0,Teen,Video Players,02-06-2025,11.14.16,0.0,0.0361,Low,Excellent
Drive Now 2025,Productivity,4.0,2,103.9,500,Free,0.0,Everyone,Productivity,21-09-2023,15.0.84,0.0,0.004,Low,Good
Drive Now_7980,Social,4.8,122,90.05,5000,Free,0.0,Everyone,Family,25-12-2020,Varies with device,0.0,0.0244,Low,Excellent
Drive Online,Social,3.9,10,31.0,1000,Free,0.0,Teen,Family,14-02-2025,9.19.84,0.0,0.01,Low,Good
Drive Plus,Productivity,3.7,4973,15.0,100000,Free,0.0,Everyone,Productivity,23-06-2025,13.4.98,0.0,0.04973,Medium,Good
Drive Plus 2024,Social,4.0,2,16.5,50,Free,0.0,Everyone,Family,28-07-2024,1.18.18,0.0,0.04,Low,Good
Drive Premium,Music,4.6,1009,70.7,50000,Free,0.0,Everyone,Tools,09-05-2026,10.7.23,0.0,0.02018,Medium,Excellent
Drive Pro,Maps_And_Navigation,4.1,18201,90.05,1000000,Free,0.0,Everyone,Maps And Navigation;Creativity,17-11-2025,Varies with device,0.0,0.018201,High,Good
Drive Pro 2023,Finance,4.0,4,141.7,50,Free,0.0,Everyone,Finance,20-06-2026,11.19.16,0.0,0.08,Low,Good
Drive Pro 2026,Social,4.5,379,92.2,10000,Free,0.0,Everyone,Family,08-07-2023,4.5.0,0.0,0.0379,Low,Good
Drive Pro_10628,Finance,4.4,16,81.4,500,Free,0.0,Everyone,Finance,19-09-2025,8.5.84,0.0,0.032,Low,Good
Drive Space,Social,3.7,80723,55.3,5000000,Free,0.0,Teen,Family,09-09-2024,5.7.13,0.0,0.0161446,Very High,Good
Drive Space 2026,Events,3.8,3,142.4,10,Free,0.0,Everyone 10+,Events,03-08-2024,10.16.82,0.0,0.3,Low,Good
Drive_4570,Auto_And_Vehicles,4.2,4,149.0,500,Free,0.0,Everyone,Auto And Vehicles,06-11-2025,3.13.35,0.0,0.008,Low,Good
Drive_6306,Books_And_Reference,4.1,14,69.5,1000,Free,0.0,Everyone,Books And Reference,28-05-2025,2.11.4,0.0,0.014,Low,Good
Drive_6837,Social,3.2,42,19.5,1000,Free,0.0,Everyone,Family,08-06-2026,9.10.48,0.0,0.042,Low,Average
Easy Browser,Social,3.7,5,67.7,500,Free,0.0,Everyone,Family,19-05-2025,2.11.85,0.0,0.01,Low,Good
Easy Browser Hub,Social,4.5,121,111.5,10000,Free,0.0,Everyone,Artificial Intelligence,13-12-2023,7.19.35,0.0,0.0121,Low,Good
Easy Browser Online,Libraries_And_Demo,3.95,1,7.1,50,Free,0.0,Teen,Libraries And Demo,15-05-2026,10.1.65,0.0,0.02,Low,Good
Easy Browser Plus,Game,3.7,11,90.05,500,Free,0.0,Everyone 10+,Game;Puzzle,10-08-2025,Varies with device,0.0,0.022,Low,Good
Easy Browser Pro,Game,3.9,1745,649.5,50000,Free,0.0,Everyone 10+,Game;Puzzle,22-11-2025,5.15.85,0.0,0.0349,Medium,Good
Easy Chat,Game,4.8,14,90.05,500,Free,0.0,Everyone,Game;Simulation,28-06-2024,Varies with device,0.0,0.028,Low,Excellent
Easy Chat App,Auto_And_Vehicles,4.2,0,141.1,100,Free,0.0,Teen,Auto And Vehicles;Creativity,03-09-2025,13.3.69,0.0,0.0,Low,Good
Easy Chat Now,Game,4.3,0,90.05,100,Free,0.0,Everyone,Game;Strategy,15-02-2026,Varies with device,0.0,0.0,Low,Good
Easy Chat Premium,Game,4.3,1,1758.8,50,Free,0.0,Everyone,Game;Simulation,12-03-2026,12.20.12,0.0,0.02,Low,Good
Easy ChatGPT,Productivity,4.3,36,18.8,1000,Free,0.0,Everyone,Productivity,04-08-2023,15.2.32,0.0,0.036,Low,Good
Easy Connect,Finance,4.5,125,140.0,10000,Free,0.0,Mature 17+,Finance,13-04-2026,8.20.85,0.0,0.0125,Low,Good
Easy Connect 2023,Game,3.8,324,81.7,10000,Free,0.0,Everyone,Game;Casual,02-03-2025,11.13.2,0.0,0.0324,Low,Good
Easy Connect 2026,Music,4.4,5,27.0,100,Free,0.0,Everyone,Tools,10-12-2025,8.10.53,0.0,0.05,Low,Good
Easy Connect App,Productivity,4.5,23,63.4,500,Free,0.0,Teen,Productivity;Creativity,22-02-2025,1.2.75,0.0,0.046,Low,Good
Easy Connect Hub,Finance,3.9,29,52.8,1000,Free,0.0,Everyone,Finance,05-03-2026,8.17.78,0.0,0.029,Low,Good
Easy Connect Now,Health_And_Fitness,4.1,5,10.6,10,Free,0.0,Everyone 10+,Health And Fitness;Creativity,14-04-2026,1.7.44,0.0,0.5,Low,Good
Easy Connect Pro,Finance,4.0,0,71.1,50,Free,0.0,Everyone,Finance,18-01-2023,14.18.55,0.0,0.0,Low,Good
Easy Craft,Social,5.0,576,106.2,100000,Free,0.0,Everyone 10+,Family,22-05-2026,5.5.60,0.0,0.00576,Medium,Excellent
Easy Craft 2025,Social,4.3,1,108.9,10,Free,0.0,Teen,Artificial Intelligence,30-10-2024,7.15.55,0.0,0.1,Low,Good
Easy Craft 3D,Weather,4.2,4,7.2,50,Free,0.0,Everyone,Weather,16-08-2024,1.4.57,0.0,0.08,Low,Good
Easy Craft App 2024,Music,4.0,3,90.05,100,Free,0.0,Teen,Tools,12-10-2025,Varies with device,0.0,0.03,Low,Good
Easy Craft Hub,Dating,3.4,485,25.9,10000,Free,0.0,Adults only 18+,Dating;Creativity,05-04-2026,13.19.72,0.0,0.0485,Low,Average
Easy Craft Now,News_And_Magazines,3.8,17,72.6,1000,Free,0.0,Everyone,News And Magazines;Creativity,25-06-2026,8.17.90,0.0,0.017,Low,Good
Easy Craft Plus,Social,4.8,5,129.0,100,Free,0.0,Everyone,Artificial Intelligence,11-05-2026,1.8.51,0.0,0.05,Low,Excellent
Easy Craft Premium 2024,Personalization,4.2,5,54.1,10,Free,0.0,Everyone,Personalization;Creativity,16-05-2026,12.16.82,0.0,0.5,Low,Good
Easy Dash,Finance,3.4,315,128.3,10000,Free,0.0,Everyone,Finance,09-06-2026,8.1.94,0.0,0.0315,Low,Average
Easy Dash 2026,Game,4.3,2,90.05,100,Free,0.0,Teen,Game;Strategy,17-07-2025,Varies with device,0.0,0.02,Low,Good
Easy Dash AI,Game,4.9,7,782.1,500,Free,0.0,Everyone,Game;Casual,30-12-2025,2.19.37,0.0,0.014,Low,Excellent
Easy Dash Hub,Social,3.9,0,92.9,10,Free,0.0,Everyone,Social,23-09-2023,2.12.50,0.0,0.0,Low,Good
Easy Dash Online,Music,4.0,0,101.6,50,Free,0.0,Everyone,Tools,31-05-2025,3.2.43,0.0,0.0,Low,Good
Easy Dash Online 2025,Social,3.6,5,90.05,10,Free,0.0,Everyone,Family,05-06-2026,Varies with device,0.0,0.5,Low,Good
Easy Dash Pro,Beauty,4.0,2,90.05,50,Free,0.0,Mature 17+,Beauty,27-03-2025,Varies with device,0.0,0.04,Low,Good
Easy Drive,Auto_And_Vehicles,4.1,822,102.1,50000,Free,0.0,Teen,Auto And Vehicles,19-12-2024,4.9.15,0.0,0.01644,Medium,Good
Easy Drive 2024,Health_And_Fitness,4.7,934,90.05,50000,Free,0.0,Everyone,Health And Fitness,09-07-2025,Varies with device,0.0,0.01868,Medium,Excellent
Easy Drive Now,Beauty,4.7,23,149.5,500,Free,0.0,Everyone,Beauty,29-09-2024,7.18.48,0.0,0.046,Low,Excellent
Easy Drive Plus 2026,Social,3.7,175,89.1,10000,Free,0.0,Everyone,Art And Design,12-07-2025,5.0.28,0.0,0.0175,Low,Good
Easy Editor,Music,4.4,22744,37.3,500000,Free,0.0,Everyone,Tools,08-07-2025,12.5.71,0.0,0.045488,High,Good
Easy Editor AI,Game,4.3,3,90.05,500,Free,0.0,Everyone,Game;Card,19-12-2024,Varies with device,0.0,0.006,Low,Good
Easy Editor App,Photography,2.9,95,57.3,5000,Free,0.0,Everyone,Photography;Creativity,30-08-2024,8.9.53,0.0,0.019,Low,Average
Easy Editor Go,Social,3.6,9145,135.0,500000,Free,0.0,Everyone,Family;Creativity,26-06-2026,2.4.41,0.0,0.01829,High,Good
Easy Editor Hub,Game,4.3,4,90.05,10,Free,0.0,Everyone,Game;Simulation,07-06-2026,Varies with device,0.0,0.4,Low,Good
Easy Editor Online,News_And_Magazines,4.1,0,13.8,50,Free,0.0,Everyone,News And Magazines,07-05-2026,3.8.44,0.0,0.0,Low,Good
Easy Editor Plus,Business,3.0,21,121.7,1000,Free,0.0,Everyone,Business,20-05-2026,2.11.29,0.0,0.021,Low,Average
Easy Fit,Parenting,2.7,12,100.0,500,Free,0.0,Everyone,Parenting,28-03-2026,3.8.43,0.0,0.024,Low,Average
Easy Fit Max,Social,4.0,379,54.0,10000,Free,0.0,Everyone,Family,29-12-2023,13.14.5,0.0,0.0379,Low,Good
Easy Fit Online,House_And_Home,3.7,181,145.6,10000,Free,0.0,Everyone,House And Home,19-11-2022,15.11.61,0.0,0.0181,Low,Good
Easy Fit Space_945,Maps_And_Navigation,4.15,3,132.1,50,Free,0.0,Teen,Maps And Navigation,15-06-2024,6.18.23,0.0,0.06,Low,Good
Easy Health,Social,3.3,147,133.4,5000,Free,0.0,Everyone,Family,17-02-2025,8.8.28,0.0,0.0294,Low,Average
Easy Health 2026,Finance,4.0,0,120.7,10,Free,0.0,Everyone,Finance,07-06-2026,15.1.54,0.0,0.0,Low,Good
Easy Health App,Productivity,4.4,148,88.6,5000,Free,0.0,Teen,Productivity;Creativity,03-04-2023,3.10.59,0.0,0.0296,Low,Good
Easy Health Go,Social,4.3,2130,60.5,50000,Free,0.0,Teen,Family,18-09-2025,1.13.95,0.0,0.0426,Medium,Good
Easy Health Hub,Social,4.3,0,57.1,10,Free,0.0,Everyone,Artificial Intelligence,31-12-2025,14.2.56,0.0,0.0,Low,Good
Easy Health Online,Business,3.8,1,103.1,10,Free,0.0,Everyone,Business,05-11-2025,9.1.17,0.0,0.1,Low,Good
Easy Health Pro,Game,4.3,0,415.3,50,Free,0.0,Teen,Game;Action,24-01-2026,2.0.17,0.0,0.0,Low,Good
Easy Health Space,Music,4.2,24,68.9,500,Free,0.0,Everyone,Tools;Creativity,27-07-2025,8.18.44,0.0,0.048,Low,Good
Easy Instagram,Finance,4.0,0,90.05,50,Free,0.0,Everyone 10+,Finance,12-06-2025,Varies with device,0.0,0.0,Low,Good
Easy Instagram App,Events,4.5,43,9.1,1000,Free,0.0,Everyone,Events;Creativity,29-04-2026,7.18.57,0.0,0.043,Low,Good
Easy Instagram Premium,Productivity,4.0,0,33.9,50,Free,0.0,Everyone,Productivity,06-02-2026,10.11.39,0.0,0.0,Low,Good
Easy Instagram Pro,Web3_And_Crypto,4.1,1,47.7,50,Free,0.0,Mature 17+,Web3 And Crypto,28-08-2025,2.7.47,0.0,0.02,Low,Good
Easy Learn,Business,3.5,1172,90.05,50000,Paid,19.99,Everyone,Business,30-09-2023,Varies with device,999499.9999999999,0.02344,Medium,Average
Easy Learn 2024,Social,4.3,3,62.5,100,Free,0.0,Everyone 10+,Artificial Intelligence;Creativity,22-09-2024,11.5.48,0.0,0.03,Low,Good
Easy Learn AI,Social,4.0,3,147.8,100,Free,0.0,Everyone,Family,15-03-2025,3.15.8,0.0,0.03,Low,Good
Easy Learn Online,Game,4.6,29,559.7,5000,Free,0.0,Everyone,Game;Shooter,11-01-2026,6.10.20,0.0,0.0058,Low,Excellent
Easy Learn Plus,Web3_And_Crypto,4.1,2,90.05,100,Free,0.0,Adults only 18+,Web3 And Crypto;Creativity,03-05-2026,Varies with device,0.0,0.02,Low,Good
Easy Maker,Social,4.0,349,70.0,10000,Free,0.0,Everyone,Social,20-06-2026,7.4.13,0.0,0.0349,Low,Good
Easy Maker AI,Events,3.8,3,90.05,100,Paid,4.99,Teen,Events,18-08-2023,Varies with device,499.0,0.03,Low,Good
Easy Maker Go,Comics,4.5,43,148.1,1000,Free,0.0,Everyone,Comics,01-01-2026,12.2.46,0.0,0.043,Low,Good
Easy Maker Max,Communication,4.2,32,94.1,1000,Free,0.0,Everyone,Communication,03-04-2023,9.0.94,0.0,0.032,Low,Good
Easy Maker Online,Social,4.0,0,90.05,50,Free,0.0,Everyone 10+,Family,24-01-2023,Varies with device,0.0,0.0,Low,Good
Easy Maker Plus,Social,3.9,34687,90.05,1000000,Free,0.0,Teen,Family,20-05-2026,Varies with device,0.0,0.034687,High,Good
Easy Maker Pro,Music,3.7,5,137.9,1000,Free,0.0,Everyone,Tools,29-12-2023,1.6.3,0.0,0.005,Low,Good
Easy Maker Pro 2024,Social,3.9,11945,90.05,500000,Free,0.0,Everyone,Family,13-03-2026,Varies with device,0.0,0.02389,High,Good
Easy Maker Space,Social,4.0,10335,16.6,500000,Free,0.0,Everyone,Family,09-06-2026,2.2.60,0.0,0.02067,High,Good
Easy Pay,Social,3.0,43,12.5,1000,Free,0.0,Everyone,Family,26-04-2024,10.9.17,0.0,0.043,Low,Average
Easy Pay AI,Lifestyle,3.5,2617,133.7,100000,Paid,19.99,Everyone,Lifestyle,30-01-2026,10.5.74,1998999.9999999998,0.02617,Medium,Average
Easy Pay Go,Social,3.7,5,46.3,50,Free,0.0,Everyone,Artificial Intelligence;Creativity,20-05-2026,1.10.70,0.0,0.1,Low,Good
Easy Pay Online,Personalization,4.0,3,90.05,10,Free,0.0,Everyone,Personalization,22-05-2026,Varies with device,0.0,0.3,Low,Good
Easy Pay Premium,Social,4.0,0,49.9,10,Free,0.0,Everyone 10+,Family,15-06-2024,9.4.54,0.0,0.0,Low,Good
Easy Player,Social,4.1,2711,93.6,100000,Free,0.0,Everyone,Family,09-01-2025,4.10.43,0.0,0.02711,Medium,Good
Easy Player 2024,Music,4.0,2,113.9,500,Free,0.0,Mature 17+,Tools,05-09-2025,15.4.54,0.0,0.004,Low,Good
Easy Player 3D 2024,Music,4.0,5,123.7,1000,Free,0.0,Mature 17+,Tools,17-06-2026,2.17.73,0.0,0.005,Low,Good
Easy Player AI,Sports,3.9,1,37.5,100,Free,0.0,Everyone,Sports,29-03-2026,7.8.67,0.0,0.01,Low,Good
Easy Player App,Sports,3.9,2,81.7,50,Free,0.0,Everyone,Sports,23-01-2024,4.2.40,0.0,0.04,Low,Good
Easy Player Go,Social,4.0,3,110.9,50,Free,0.0,Teen,Family,30-06-2026,10.18.35,0.0,0.06,Low,Good
Easy Player Hub,Music,5.0,341,149.9,10000,Paid,1.99,Everyone,Tools;Creativity,17-02-2024,7.5.72,19900.0,0.0341,Low,Excellent
Easy Player Online,Productivity,4.9,15,81.9,500,Free,0.0,Mature 17+,Productivity,01-09-2025,9.3.45,0.0,0.03,Low,Excellent
Easy SnapChat,Social,4.8,868,269.1,50000,Free,0.0,Everyone,Art And Design,21-06-2026,6.8.31,0.0,0.01736,Medium,Excellent
Easy Strike,Music,4.0,3,74.7,100,Free,0.0,Everyone,Tools,15-02-2026,3.6.41,0.0,0.03,Low,Good
Easy Strike 2023,Game,5.0,122,1287.0,5000,Free,0.0,Everyone 10+,Game;Casual,01-10-2022,15.0.70,0.0,0.0244,Low,Excellent
Easy Strike 3D,Game,5.0,20,90.05,1000,Free,0.0,Mature 17+,Game;Strategy,02-04-2026,Varies with device,0.0,0.02,Low,Excellent
Easy Strike Premium,Productivity,3.8,1348,90.05,50000,Free,0.0,Teen,Productivity,05-07-2024,Varies with device,0.0,0.02696,Medium,Good
Easy Telegram,Sports,3.4,10,137.3,1000,Free,0.0,Everyone,Sports,17-05-2026,15.3.9,0.0,0.01,Low,Average
Easy Telegram 3D,Events,4.2,5,39.4,100,Free,0.0,Teen,Events,25-03-2025,12.1.79,0.0,0.05,Low,Good
Easy Telegram AI,Productivity,4.0,2,71.9,10,Free,0.0,Everyone,Productivity;Creativity,24-06-2026,13.19.61,0.0,0.2,Low,Good
Easy Telegram Hub,News_And_Magazines,4.6,1787,86.6,100000,Free,0.0,Teen,News And Magazines,31-01-2026,8.4.27,0.0,0.01787,Medium,Excellent
Easy Telegram Online,Game,4.7,19,1707.0,500,Free,0.0,Everyone,Game;RPG,24-02-2024,6.7.54,0.0,0.038,Low,Excellent
Easy Telegram Premium,Travel_And_Local,4.1,45659,39.1,5000000,Free,0.0,Everyone,Travel And Local,04-03-2024,9.1.81,0.0,0.0091318,Very High,Good
Easy Telegram Space,Social,3.5,145,141.4,10000,Free,0.0,Everyone,Family,11-08-2025,1.0.60,0.0,0.0145,Low,Average
Easy Telegram_7469,Personalization,4.0,3,90.05,50,Free,0.0,Teen,Personalization;Creativity,07-12-2025,Varies with device,0.0,0.06,Low,Good
